Date,Camp,SPX
2016-08-23,5260.08,2175.44
2016-08-24,5217.69,2172.47
2016-08-25,5212.2,2169.04
2016-08-26,5218.92,2180.38
2016-08-29,5232.33,2176.12
2016-08-30,5222.99,2170.95
2016-08-31,5213.22,2170.86
2016-09-01,5227.21,2179.98
2016-09-02,5249.9,2186.48
2016-09-06,5275.91,2186.16
2016-09-07,5283.93,2181.3
2016-09-08,5259.48,2127.81
2016-09-09,5125.91,2159.04
2016-09-12,5211.89,2127.02
2016-09-13,5155.25,2125.77
2016-09-14,5173.77,2147.26
2016-09-15,5249.69,2139.16
2016-09-16,5244.57,2139.12
2016-09-19,5235.03,2139.76
2016-09-20,5241.35,2163.12
2016-09-21,5295.18,2177.18
2016-09-22,5339.52,2164.69
2016-09-23,5305.75,2146.1
2016-09-26,5257.49,2159.93
2016-09-27,5305.71,2171.37
2016-09-28,5318.55,2151.13
2016-09-29,5269.15,2168.27
2016-09-30,5312,2161.2
2016-10-03,5300.87,2150.49
2016-10-04,5289.66,2159.73
2016-10-05,5316.02,2160.77
2016-10-06,5306.85,2153.74
2016-10-07,5292.4,2163.66
2016-10-10,5328.67,2136.73
2016-10-11,5246.79,2139.18
2016-10-12,5239.02,2132.55
2016-10-13,5213.33,2132.98
2016-10-14,5214.16,2126.5
2016-10-17,5199.82,2139.6
2016-10-18,5243.84,2144.29
2016-10-19,5246.41,2141.34
2016-10-20,5241.83,2141.16
2016-10-21,5257.4,2151.33
2016-10-24,5309.83,2143.16
2016-10-25,5283.4,2139.43
2016-10-26,5250.27,2133.04
2016-10-27,5215.97,2126.41
2016-10-28,5190.1,2126.15
2016-10-31,5189.13,2111.72
2016-11-01,5153.58,2097.94
2016-11-02,5105.57,2088.66
2016-11-03,5058.41,2085.18
2016-11-04,5046.37,2131.52
2016-11-07,5166.17,2139.56
2016-11-08,5193.49,2163.26
2016-11-09,5251.07,2167.48
2016-11-10,5208.8,2164.45
2016-11-11,5237.11,2164.2
2016-11-14,5218.4,2180.39
2016-11-15,5275.62,2176.94
2016-11-16,5294.58,2187.12
2016-11-17,5333.97,2181.9
2016-11-18,5321.51,2198.18
2016-11-21,5368.86,2202.94
2016-11-22,5386.35,2204.72
2016-11-23,5380.68,2213.35
2016-11-25,5398.92,2201.72
2016-11-28,5368.81,2204.66
2016-11-29,5379.92,2198.81
2016-11-30,5323.68,2191.08
2016-12-01,5251.11,2191.95
2016-12-02,5255.65,2204.71
2016-12-05,5308.89,2212.23
2016-12-06,5333,2241.35
2016-12-07,5393.76,2246.19
2016-12-08,5417.36,2259.53
2016-12-09,5444.5,2256.96
2016-12-12,5412.54,2271.72
2016-12-13,5463.83,2253.28
2016-12-14,5436.67,2262.03
2016-12-15,5456.85,2258.07
2016-12-16,5437.16,2262.53
2016-12-19,5457.44,2270.76
2016-12-20,5483.94,2265.18
2016-12-21,5471.43,2260.96
2016-12-22,5447.42,2263.79
2016-12-23,5462.69,2268.88
2016-12-27,5487.44,2249.92
2016-12-28,5438.56,2249.26
2016-12-29,5432.09,2238.83
2016-12-30,5383.12,2257.83
2017-01-03,5429.08,2270.75
2017-01-04,5477,2269
2017-01-05,5487.94,2276.98
2017-01-06,5521.06,2268.9
2017-01-09,5531.82,2268.9
2017-01-10,5551.82,2275.32
2017-01-11,5563.65,2270.44
2017-01-12,5547.49,2274.64
2017-01-13,5574.12,2267.89
2017-01-17,5538.73,2271.89
2017-01-18,5555.65,2263.69
2017-01-19,5540.08,2271.31
2017-01-20,5555.33,2265.2
2017-01-23,5552.94,2280.07
2017-01-24,5600.96,2298.37
2017-01-25,5656.34,2296.68
2017-01-26,5655.18,2294.69
2017-01-27,5660.78,2280.9
2017-01-30,5613.71,2278.87
2017-01-31,5614.79,2279.55
2017-02-01,5642.65,2280.85
2017-02-02,5636.2,2297.42
2017-02-03,5666.77,2292.56
2017-02-06,5663.55,2293.08
2017-02-07,5674.22,2294.67
2017-02-08,5682.45,2307.87
2017-02-09,5715.18,2316.1
2017-02-10,5734.13,2328.25
2017-02-13,5763.96,2337.58
2017-02-14,5782.57,2349.25
2017-02-15,5819.44,2347.22
2017-02-16,5814.9,2351.16
2017-02-17,5838.58,2365.38
2017-02-21,5865.95,2362.82
2017-02-22,5860.63,2363.81
