Date,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,BlkWghtMean,BlkWghtTot,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,FlowTfrFromExCnt,HashRate,HashRate30d,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevHashNtv,RevHashRateNtv,RevHashRateUSD,RevHashUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,SplyMiner0HopAllNtv,SplyMiner0HopAllUSD,SplyMiner1HopAllNtv,SplyMiner1HopAllUSD,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2022-11-01,955117,9071,2630334,18181773,963,509570,8110398,45,99308,43127456,21427904,10811959,3855400,15849,4,150852,106,909506,2133,0,13988790,253021,24759773,1521511,4736,35325915,5479680,64432,1667369391,144,1310280.798611111111,3356718.79861111,483367507,131947286625.79597054985933792,0.970049689813,0.721559273554,393203403802.07854817426022784,393188057876.828779968,292479411504.40371352680576448,405343569439.140923357430218807363136,36835682546787.9766,36835682546787.9766,0.000000077326,0.00005341,1.09404865241942816,0.00002097,0.42954877815456672,14.58986622,298858.33134189732603072,22451.9771576,459905548.6505160648338176,23640.62857033,484253844.40587472453954208,27051,263680086.4404872243479004248080156,262461243.4282992913328374663020288307921794089,900,1.7113237065,0.0046885581,18435569.8778784,900,18435569.8778784,0.338380164505,64.219180143291,52.27777845738175,47.768630266129,38.88616866009892,1,20483.966530976,-66.47034855962178,7.723645073183274,20490.8581808884,13.0415018477518,20729.2436995909,20490.8581808884,46486853691.998149909593016560627179,0.00000000004,0.000003468559,0.071049840973,0.000000822336,914.58986622,18734428.20922029732603072,0.097005009525,16595680.13136469,4169204.05011534,308034.2391,6441491.02793467,10465105.49970453,1347250.40823809,11699667.77382011,13090173.17283151,14245728.98342475,644227.12739728,2397721.29646801,17417907.94462675,33.5570051912,10921742.6277788,18757247.51910959,19184223.40023407,6495433.01396938,17512230.40486973,19113341.36878012,2297264.79068277,15435449.54959391,19188618.17390058,19148391.93319245,18919305.29536567,18006085.43340951,16100114.44587027,11771049.25790397,683712.27967149,3054048.04324579,7907223.13864107,0,19192912.85161375,19190996.34297074,19171005.79360895,16780420.33433405,18426596.73631888,9690447.28914651,19032671.97457934,14441778.13023839,2994048.04322179,18961266.15913053,17354121.92666646,19195667.16765884,20692922.65625,14278455.83823398,1801197.03195331,36895659718.22491086590073056,2552290.73066154,52281037904.19126587138186304,273150,3.161458333333,787424,298908.63017603,6122834376.34568135132770528,1.424069805363,29170.598230829198630424288,0.00449,91.97300972408224,29.726900880851,0.034350964854596745,0.0168035986250659,20489.94,coinbase-btc-usd-spot
2022-11-02,869056,9057,2631176,18214617,963,509665,8118592,44,99217,43175343,21462042,10824674,3856810,15823,4,150819,105,909522,2128,0,13890481,250300,24712757,1504681,4679,35318063,5428896,63924,1667453735,122,1248774.926229508197,3322281.75409836,405318374,129681610858.057004806392881338,0.954490976446,0.709598846795,386775127359.096905957132538404,386763065234.0735741207,287540889453.828770571273983312,405216117180.137545942230784701766036,36835682546787.9766,36835682546787.9766,0.000000112974,0.00006652,1.340263888516760444,0.00002925,0.589337323197763725,17.21170919,346786.414416852994633543,21858.74219013,440416157.634230341925633061,71092.12533145,1432384370.710313648959467065,26485,223395628.203901484093666250244790050426632,261905199.0338639893983161840888912079896250089,762.5,1.449813872,0.0039720928,15363066.97224939625,762.5,15363066.97224939625,0.338641594833,63.962164390049,51.910184301956825,47.551500443386,38.59167642917921,1,20148.2845537697,-68.03115373023172,2.6223227426077402,20483.966530976,12.9624359726441,20753.6047574518,20483.966530976,46505588120.207370206919047280627179,0.00000000004,0.000003490273,0.070323011748,0.000000813924,779.71170919,15709853.386666249244633543,0.097045810632,16597140.09197901,4169155.4141346,356338.142919,6436359.90508154,10465198.44762102,1407888.24758747,11703314.92900886,13092721.46404057,14240905.59154093,698172.84438232,2452069.19373519,17418742.13517393,33.5289427072,10922474.38932163,18757488.06128724,19184978.50916878,6500709.55772782,17512207.01246359,19113929.81560348,2298056.33698733,15433954.38261617,19189374.89928252,19149043.42809095,18919631.54143305,18006014.5701928,16099568.71267086,11770525.88416993,683712.27967149,3054800.05080048,7908837.14942814,0,19193672.65733746,19191714.5616303,19171131.71841192,16766634.11735247,18418253.44648324,9668200.63728292,19030456.51475141,14418527.48592843,3004800.05078248,18961869.57370213,17354923.86697399,19196429.66759332,20693017.96875,14271234.29225296,1801114.53159711,36289368096.548199687412125567,2555360.03416149,51486121105.616361892758068853,258761,2.994918981481,751633,300121.63988903,6046936201.228175409376176391,2.112881577112,42570.9392440702729008391064,0.00445582,89.777129280378104654,29.768378963897,0.03435811628837821,0.016188840233581612,20479.63,coinbase-btc-usd-spot
2022-11-03,1009478,9061,2631919,18201844,964,509682,8118628,44,99263,43163222,21448219,10823188,3857883,15831,4,150721,106,909685,2124,0,13910745,250561,24709233,1507485,4692,35310352,5437236,63987,1667541650,164,1189597.079268292683,3071803.66463415,503775801,129975769451.500963920733265184,0.956986021054,0.711410971139,387752323864.07921614884334116,387735061193.77421256,288250038362.865982795745689572,405180760568.477819235071787181466036,36835682546787.98,36835682546787.98,0.000000095551,0.00006334,1.279348362523241544,0.00002815,0.56857682988678954,18.64138734,376520.814155201853079944,21593.43046235,436146509.36638703924971026,18214.12061815,367890833.40118431583743354,28289,300302320.9613105737152076611639949283052,263445028.6730496513173304697246504861163562089,1025,1.9488260675,0.0053392495,20703063.96568239,1025,20703063.96568239,0.338741540795,82.25195292548,52.73709997467008,61.145032865105,39.204074754104106,1,20198.1111860316,-67.91708965469431,-0.6974449134161822,20148.2845537697,13.259136428925,20539.9499719462,20148.2845537697,46521297973.594036456163680823627179,0.00000000004,0.000003475302,0.070194544992,0.000000812437,1043.64138734,21079584.779837591853079944,0.097064645724,16598006.71674876,4167563.16252908,376145.7270782,6435045.74533624,10458550.1508574,1437332.77474399,11703788.09731729,13094186.84926102,14240012.82823715,659111.5741229,2451102.97643435,17419713.06122667,33.5203070239,10922641.02560097,18758592.69142289,19186006.11519869,6502975.37342139,17512869.22934979,19115023.36304719,2299430.2323527,15435659.13373085,19190400.94569005,19150116.90710768,18920783.55651367,18006838.57962945,16099844.57360098,11771255.77355951,683712.27967149,3066375.86688466,7904959.42835261,0,19194697.94457789,19192745.44582329,19172307.17289475,16768675.27687423,18420441.50979337,9673772.859457,19031964.41105266,14421539.00462989,3006375.86686066,18962841.09791965,17355293.73901329,19197454.6675551,20693146.09375,14271138.31129967,1801153.74007942,36379903505.260786088578629672,2557954.78724432,51665855201.602581278240440512,294320,3.406481481481,871666,233398.16241139,4714202035.000716474740739924,2.495295792428,50400.2618574975722466487248,0.004037745,81.554822450843162742,29.84306206071,0.034349484940946466,0.014829103201670727,20151.4,coinbase-btc-usd-spot
2022-11-04,939102,9069,2632529,18234747,968,509589,8121915,43,99314,43222991,21494078,10831441,3858882,15847,4,150720,117,909814,2116,0,14212523,257146,24985029,1549114,4793,35503725,5562150,65014,1667627537,129,1343324.496124031008,3518742.49612403,453917782,136416044322.648938611579003188,1.000981821699,0.744005782337,406182308414.373698371828867476,406168854151.830881475,301905568704.98357234502567603,405783900975.438032350812951368327436,36835682546787.98,36835682546787.98,0.000000112522,0.00006928,1.465773928579125984,0.00003009,0.636621499869311502,19.49888769,412542.742671686761552782,55174.23148916,1167334729.304275024871298648,94305.39165061,1995242269.138390964668661958,27329,236213409.8906695388129608944925727150844,262224984.7044931492321414943962402288608906089,806.25,1.5328536715,0.0041995991,17058028.72281928875,806.25,17058028.72281928875,0.339326520605,51.882177589164,55.67285199725746,38.562778354025,41.380295732903974,1,21157.2449275278,-65.53851704933365,4.972167063393562,20198.1111860316,13.2031366949404,20721.867873758,20198.1111860316,46542377558.373874048016760767627179,0.00000000004,0.000003495775,0.073960963832,0.00000085603,825.74888769,17470571.465490975511552782,0.097106989988,16598398.57251886,4204052.49780705,428710.02277411,6447722.50781846,10422258.61141777,1474106.02324937,11704308.75761259,13094404.14813613,14238591.13536041,697766.0678503,2490109.68031063,17420484.20975051,33.5849300909,10921975.00175189,18759038.55952893,19186787.2043736,6514479.07881084,17512802.05223891,19115628.13838752,2222656.6892876,15436756.85365958,19191199.95911482,19150795.36557562,18921290.58115849,18007062.63037843,16100286.81474105,11771496.98296007,682712.27867149,3111808.67173218,7899506.29467079,0,19195510.6868539,19193658.02092941,19174421.21934344,16800997.6939283,18440793.06881357,9721085.87237361,19038487.99259556,14471103.14565205,2941808.6178316,18963751.42946342,17356720.30904619,19198260.91751142,20693246.875,14269606.92373385,1801154.88506603,38107475055.755180825867660634,2560233.68019764,54167491043.647350583780594392,281439,3.257395833333,835888,370035.75812749,7828937166.646741694882919222,3.199412884223,67690.7620157941552070138994,0.004299405,90.963564627637660959,29.947122863797,0.03442451230435586,0.016988109622844187,20206.88,coinbase-btc-usd-spot
2022-11-05,916525,9066,2632330,18230002,968,509420,8121934,43,99276,43204249,21491459,10830091,3858407,15830,4,150659,117,909922,2117,0,14240433,257974,24995835,1554548,4809,35501246,5575720,65146,1667715185,151,1157856.033112582781,3030565.00662252,457615316,137247263204.48709524339992268,1.007111287598,0.748171912212,408625727281.515854653603883984,408608984266.8076123888,303563563951.620921600883803992,405740390673.140488697188249181495936,36835682546787.98,36835682546787.98,0.000000094132,0.00006491,1.381510141552209256,0.00002801,0.596150039514364216,16.45775871,350278.240102976502891336,13089.50618542,278590133.154646476910771472,11113.40474517,236531834.272481909334882072,20226,276497868.1272552827855232914368675716948,263179191.3650658286291592736502726354466322089,943.75,1.794182393,0.0049155682,20086276.322444885,943.75,20086276.322444885,0.339375694063,63.894206035598,56.04029759301916,47.466303771575,41.631721466539844,1,21283.4715999416,-65.11240348616512,6.68113887325516,21157.2449275278,12.8633797170865,21264.6134324956,21157.2449275278,46559848129.839365023528313549627179,0.00000000004,0.000003472749,0.073912159616,0.000000855465,960.20775871,20436554.562547861502891336,0.097120814223,16598868.348397,4210011.56113673,417447.53658549,6448537.42774105,10422895.08699318,1513314.37599225,11705920.23737093,13089655.68549325,14231566.61311474,736794.99269662,2553311.36230725,17421356.75601871,33.5875237513,10925345.57602611,18760024.45211103,19187738.66683265,6515743.40947059,17513447.33161692,19116615.33858878,2223785.5198414,15438009.03802919,19192153.25844284,19151763.93111131,18922242.80520632,18008128.26729331,16101300.8909132,11774006.11654537,682712.27867149,3112809.00565286,7903295.87066659,0,19196455.2232984,19194615.60056285,19175523.15025001,16806184.06749563,18444361.54479019,9731885.10680023,19040105.60622424,14480182.27867704,2942808.95175228,18964592.56678031,17357322.93167295,19199204.66746774,20693364.84375,14262878.23986637,1801246.783806,38336784767.6211480974257296,2559923.86062733,54484066785.674636685367363928,253538,2.934467592593,770274,300484.28267144,6395348696.466417088995987904,1.347891705117,28687.8148256545273016211672,0.0034,72.36380343980144,29.966221707177,0.03344447709465892,0.01685605670296993,21144.2,coinbase-btc-usd-spot
2022-11-06,811578,9048,2633793,18255806,970,509644,8131121,43,99363,43206540,21520289,10842948,3860735,15812,4,150742,117,910406,2118,0,14171801,255986,24930857,1542138,4767,35462982,5543255,64852,1667799225,137,1060477.63503649635,2804996.37956204,384284504,134836384473.63880939228824219,0.991409279364,0.736374594095,402179894315.634860979131177622,402165526538.2254150625,298721287559.346602853558009808,405664847693.833430097853048381435936,36835682546787.98,36835682546787.98,0.000000090257,0.00005862,1.227901593967031418,0.00002414,0.505655825287685746,13.113067,274676.8316461357689413,20027.86237492,419519688.398440863177886988,14034.87808359,293985826.850445517118750601,17456,250862304.7537192145865735795124924283052,262655302.7492956922389112885142337447234722089,856.25,1.6277617745,0.0044596213,17935700.099526964375,856.25,17935700.099526964375,0.339677053002,152.101684655246,55.737331719719464,112.974347356365,41.39920401731961,1,20946.8030359439,-65.91524732348415,7.204302910623305,21283.4715999416,13.0786063363684,21402.781094097,21283.4715999416,46580284684.401912885031204885627179,0.00000000004,0.000003465499,0.072591125036,0.000000840175,869.363067,18210376.9311731001439413,0.097197480247,16599541.46778541,4194701.63214139,246145.9439519,6437086.5684021,10412782.78814791,1494455.10607934,11705820.95506004,13089231.75178772,14231227.70332034,736284.0928647,2556142.93047272,17422151.56360398,33.5263861718,10920536.23189628,18760353.87718945,19188603.44054634,6521820.10988733,17513054.14401889,19117366.46809907,2226240.55204488,15436940.37575454,19193021.62163503,19152567.11846961,18922696.75086469,18008049.82953246,16100264.00813387,11769273.59511927,682712.27867149,3115413.01438991,7908875.70469678,0,19197309.44851682,19195439.97667581,19175951.80960695,16795469.23804157,18438239.08132968,9714449.63240761,19038957.97963314,14462457.02086681,2945412.96048933,18964882.49367902,17356486.70241782,19200060.91743498,20693471.875,14260948.89261872,1801346.20113215,37732444074.660930735323886385,2562019.91356427,53666126503.596779099972764453,223686,2.588958333333,695830,126231.74398728,2644151478.185249848544393592,4.604301668456,96445.4001672157049088156184,0.00372722,78.073343211630822958,30.112122968108,0.033429002770155446,0.016648337330886834,21300.45,coinbase-btc-usd-spot
2022-11-07,920253,9073,2638767,18263627,961,511074,8136942,42,99662,43210604,21528925,10850087,3867170,15867,4,151210,115,912348,2113,0,14067024,254245,24858938,1529676,4734,35410375,5504600,64586,1667884957,144,1196910.972222222222,3168281.53472222,456232541,132790825408.878118246583191604,0.976088727485,0.724593210807,394936214963.7293489596806552,394920810808.1596505816,293178367915.220187678511955062,404610978329.310098548950604591172336,36762198818467.21,36764240033142.78694444,0.000000093448,0.00006017,1.237610563171227806,0.00002453,0.504546902353169654,16.10616126,331280.626682985076211268,35982.743607,740113405.0175364298269426,23492.33046811,483203529.015160559245661098,26540,263168681.00773701886494925962854203704,262333767.8179747728221219253570224648665266089,900,1.710851871,0.0046872654,18511708.60651662,900,18511708.60651662,0.337628368519,74.478985860977,55.167199188046155,55.28899779603,40.95301673433677,1,20568.5651183518,-67.3741816996984,5.935194532106516,20946.8030359439,13.2997716751888,21127.5794687317,20946.8030359439,46598495061.333085985175146185627179,0.00000000004,0.000003481061,0.07160042434,0.000000828709,916.10616126,18842989.233199605076211268,0.09735003816,16599954.5954689,4211453.91249804,307084.30949873,6456008.21665478,10409508.37727135,1531931.06692403,11704727.1812302,13089665.85829738,14226670.42277114,818016.19737039,2590957.60405944,17423104.78723719,33.6233600206,10898654.08549234,18761035.92739638,19189505.48155503,6482789.10853087,17511725.81938206,19118249.56515988,2220250.54067018,15429752.5485299,19193925.18016299,19153467.09172642,18923581.53370937,18007348.97017394,16095166.27577601,11751598.64305864,682712.27948955,3098388.44961244,7873264.62675418,0,19198206.81258299,19196305.22220064,19176314.05227153,16780187.1134316,18430852.23497897,9666904.3421567,19037696.21511424,14429995.29355529,2948388.41021975,18965284.75412287,17352177.05013523,19200960.917364,20693584.375,14253710.27236309,1801300.63992971,37050169510.123008642983051978,2570176.42168236,52864841095.026036837066334248,267661,3.097928240741,770734,257803.73746233,5302652961.748406031844187694,3.466965523945,71310.506142343399221833851,0.00460393,94.696234005333402574,30.233904336109,0.033022360327146984,0.016999530834069364,20909.17,coinbase-btc-usd-spot
2022-11-08,1051006,9066,2645508,18249797,965,512044,8154034,41,99527,43166156,21513068,10868514,3877537,15848,4,151148,117,914556,2116,0,13398422,220906,24242654,1352037,4091,34910009,5125438,25045,1667970562,163,1222676.257668711656,3161326.79754601,515296268,119664463050.71944510701288705,0.880744871078,0.65370679392,355639311703.47678555124191966,355623019410.3024117,263962745489.49829306546574658,403793792483.896675933728557106250336,36762198818467.21,36762198818467.21,0.000000109976,0.00007401,1.37073707582151447,0.00003022,0.55970374856541234,21.91772278,405937.51158118895977866,54115.57436052,1002272992.23538586229601644,68657.09137484,1271596009.53328880185844148,42561,297875785.7478075892991138835197655454584,264052536.4843182978919616635613433158067522089,1018.75,1.936486549,0.0053054426,18868239.37296538125,1018.75,18868239.37296538125,0.337980957387,54.668594777052,50.20263604701,40.57614525313,37.261419662255136,1,18520.971163647,-72.57848715317554,-4.670469538427977,20568.5651183518,13.1221945567473,20551.0523278784,20568.5651183518,46617338050.566285590251357453627179,0.00000000004,0.00000349363,0.064705416844,0.000000748905,1040.66772278,19274176.88454657020977866,0.097635745431,16600507.00806561,4199338.05834204,437367.77135539,6461025.28822015,10408187.19186624,1579063.25595456,11704540.57713576,13091124.73784768,14223193.11671453,893539.1009037,2589268.57752786,17424066.48510998,33.6477040397,10897979.14170093,18761382.2676625,19190541.74627445,6489903.47168387,17508408.47456967,19119398.22788064,2187097.22410221,15421063.48932472,19194957.46259669,19154628.43457445,18924402.57310809,18005691.17276009,16088146.15443685,11749079.62575312,682712.27948955,3115145.71934581,7876552.38956037,0,19199202.27510421,19197030.12973601,19173970.93631234,16605488.85467965,18338484.54751664,9343154.32719763,19018811.40851244,12448389.55968537,2945145.66544523,18964903.19250046,17345811.05799011,19201979.66732578,20693711.71875,14252100.66778814,1801337.89093097,33362527133.91720020905044759,2568147.62129375,47564588037.97018001310830625,296138,3.427523148148,872052,351243.33715975,6505367718.95887051343160825,0.844495792216,15640.882215453764644771752,0.005075825,94.009208456718533775,30.213724440059,0.03389369954666629,0.025871282937037828,20595,ftx-btc-usd-spot
2022-11-09,1076579,9070,2660865,18330674,959,514102,8194052,41,99419,43210495,21592265,10919385,3899240,15891,4,151371,117,919009,2105,0,12824355,200223,23645149,1242524,3600,33874881,4818948,22686,1668059132,149,1311905.040268456376,3449386.93959732,513958654,101978323605.179102402371147228,0.753958696179,0.559463862544,302605063696.80609607155146148,302592379575.8168494728,224543597174.68169072593064832,401354961791.118808584285056321812236,36762198818467.21,36762198818467.21,0.00000013158,0.00008758,1.380111150477454904,0.0000336,0.52947858707515968,25.72038455,405309.31162392162863854,70703.91176473,1114172836.365357149389742324,96772.04862757,1524962130.229000269386386916,59229,272291362.9163776173788418109888796477292,263701617.0259970553823218544051258101846165263,931.25,1.770076698,0.0048495252,14674908.7563613825,931.25,14674908.7563613825,0.336547021083,37.422648006503,43.06066101080735,27.768920640408,31.952524528056344,1,15758.2912819988,-76.51366908197424,-17.730193594402444,18520.971163647,13.9060196526048,18434.7887761543,18520.971163647,46651692445.518817464589774653627179,0.000000000041,0.000003514509,0.055382653003,0.000000641003,956.97038455,15080218.06798530412863854,0.098285597011,16601975.8275816,4208498.97012382,577624.5194113,6471407.45022731,10411273.78179298,1668566.80192035,11706483.32811779,13092576.87006948,14221946.83644504,1002569.36401369,2624947.42672255,17425907.08378013,33.7001378494,10874988.58360558,18760241.54252283,19191489.83885512,6462682.4653385,17499304.06873756,19120044.99875166,2175816.5301665,15403336.02627972,19195905.85905553,19155430.14369469,18924163.59622533,17999639.15493174,16072595.31803603,11730949.09363576,685839.27948955,3107032.81065883,7843699.10799932,0,19200071.54102039,19197579.36674409,19171125.07436536,16467422.10935343,18266176.51657395,9029059.55959061,18999429.16514198,12291360.13300306,2937032.75675825,18963256.114489,17333229.89693513,19202910.9172821,20693828.125,14249235.0951264,1800394.16920464,28371135740.738950912945434432,2546815.1906751,40133455616.07753984624938988,293667,3.398923611111,917901,513136.08042769,8086147822.682702395102066772,1.431406437305,22556.519581980343387285234,0.006189555,97.536810595952082534,30.241018350969,0.0358954257327821,0.039000219332278735,18550.25,coinbase-btc-usd-spot
2022-11-10,1056871,9085,2673863,18382509,962,515105,8225843,41,99469,43272764,21649567,10955813,3918396,15893,4,150966,117,921951,2111,0,13287047,214833,24152111,1325069,3960,34438240,5065667,24340,1668146129,147,1323414.857142857143,3459854.69387755,508598640,113613132270.5223093890914946,0.839903712816,0.623180720135,336865135843.08260051427091983,336851564512.386477272,249942766938.322783501831822195,401075897990.503694929135464048716636,36762198818467.21,36762198818467.21,0.000000123853,0.00008179,1.434724215847107355,0.00003528,0.61886624691387636,24.09456215,422656.214535250557070175,51319.13006316,900217613.86261088089136142,82073.95508596,1439705231.10618253489004002,53976,268636444.9930960936417398646904563465938,263392002.4334553397250721928694549646820221263,918.75,1.74623373,0.004784202,16116308.513382196875,918.75,16116308.513382196875,0.335894346271,42.927592433931,48.14611087034626,31.850850946877,35.72281868272393,1,17541.5602866745,-72.91132996798054,-7.866482445753016,15758.2912819988,14.417483874418,15796.0502232613,15758.2912819988,46651692445.518817464589774653627179,0.000000000041,0.000003509742,0.061566347516,0.000000712573,942.84456215,16538964.727917447432070175,0.098820129124,16604708.39187853,4216012.48873695,575169.58079204,6476797.4121908,10420645.80237032,1725907.06878886,11710646.56708373,13095223.53731207,14223115.18796217,1064933.46092437,2659768.79184525,17429190.06724073,33.7265926871,10867032.29572413,18759580.82514266,19192397.65746083,6450457.81197093,17491778.19896135,19120820.43041635,2154111.61375293,15396351.87741982,19196821.99118191,19156267.81756813,18924325.77152519,17994544.23194619,16059939.39617837,11720704.20656371,687521.27948955,3086234.54459708,7834101.62539467,0,19201020.49333389,19198766.85409807,19174530.34519294,16545263.38183679,18309349.3137361,9231467.11192173,19013329.56397753,12381123.65629312,2916234.4906965,18962352.64756414,17324926.44422715,19203829.66724934,20693942.96875,14248605.18982411,1796523.07250448,31513817782.73903973748555176,2529756.04641179,44375868198.711748719476692355,294575,3.40943287037,939361,447353.98792293,7847286948.634332781611996285,1.797032721054,31522.757813495461031794923,0.00569644,99.92444567942408878,30.294937926821,0.03676806080683873,0.0441830996936177,15891.96,coinbase-btc-usd-spot
