"DateTime","Aggregated Exchanges","Price"
"2022-09-21 00:00:00",27526.46046831,18967.345
"2022-09-22 00:00:00",25889.62235411,18938.165
"2022-09-23 00:00:00",28866.80704816,19020.405
"2022-09-24 00:00:00",10283.633139329999,19060.86
"2022-09-25 00:00:00",13825.469089160002,18912.315
"2022-09-26 00:00:00",23488.790574110004,19002.675000000003
"2022-09-27 00:00:00",34117.37430211,19604.760000000002
"2022-09-28 00:00:00",35159.04113712,19134.85
"2022-09-29 00:00:00",65726.96889357998,19244.54
"2022-09-30 00:00:00",29159.634485009996,19690.739999999998
"2022-10-01 00:00:00",10308.929394679999,19335.575
"2022-10-02 00:00:00",15861.606289120002,19162.120000000003
"2022-10-03 00:00:00",18715.21932344,19343.015
"2022-10-04 00:00:00",30441.639827670002,19979.449999999997
"2022-10-05 00:00:00",21277.364079389998,20061.825
"2022-10-06 00:00:00",17193.47815029,20158
"2022-10-07 00:00:00",24572.05688279,19695.045
"2022-10-08 00:00:00",10488.276916099998,19449.57
"2022-10-09 00:00:00",10675.721962449998,19442.135
"2022-10-10 00:00:00",13438.560367820002,19289.379999999997
"2022-10-11 00:00:00",44093.68393639001,19061.260000000002
"2022-10-12 00:00:00",30233.54210664,19104.525
"2022-10-13 00:00:00",30815.009916940005,18866.95
"2022-10-14 00:00:00",23706.894844400005,19516.055
"2022-10-15 00:00:00",10491.02501857,19107.845
"2022-10-16 00:00:00",8645.39955809,19245.21
"2022-10-17 00:00:00",26080.83007078,19417.745000000003
"2022-10-18 00:00:00",37053.34284325,19396.61
"2022-10-19 00:00:00",15006.85499114,19217.345
"2022-10-20 00:00:00",22032.638062140002,19133.535
"2022-10-21 00:00:00",21880.90234248,18972.415
"2022-10-22 00:00:00",12863.160344099997,19185.65
"2022-10-23 00:00:00",9746.079968009999,19384.735
"2022-10-24 00:00:00",22285.01293238,19378.635000000002
"2022-10-25 00:00:00",29360.444977780007,19828.975
"2022-10-26 00:00:00",46279.60782717,20536.265
"2022-10-27 00:00:00",32026.76452449,20541.665
"2022-10-28 00:00:00",21887.20654213,20391.495
"2022-10-29 00:00:00",16750.514720029998,20814.475
"2022-10-30 00:00:00",13012.162372209998,20729.91
"2022-10-31 00:00:00",24802.18195186001,20538.11
"2022-11-01 00:00:00",24880.163734260004,20510.465
"2022-11-02 00:00:00",25373.769155959995,20431.370000000003
"2022-11-03 00:00:00",26302.615341530003,20213.12
"2022-11-04 00:00:00",30132.058981760005,20739.135000000002
"2022-11-05 00:00:00",14357.925173699998,21278.625
"2022-11-06 00:00:00",25157.405815500002,21128.46
"2022-11-07 00:00:00",41180.92780622,20731.06
"2022-11-08 00:00:00",84394.24453528,19062.559999999998
"2022-11-09 00:00:00",90471.56344656998,17064.305
"2022-11-10 00:00:00",73222.01784047001,16894.045
"2022-11-11 00:00:00",55021.155730290004,17013.765
"2022-11-12 00:00:00",40167.90172843,16835.655
"2022-11-13 00:00:00",31007.12884386,16578.365
"2022-11-14 00:00:00",66009.26517559,16477.760000000002
"2022-11-15 00:00:00",45138.61575129999,16800.455
"2022-11-16 00:00:00",56395.27932141999,16680.870000000003
"2022-11-17 00:00:00",33802.20809894,16568.61
"2022-11-18 00:00:00",165405.56677685006,16753.455
"2022-11-19 00:00:00",17031.095291719997,16668.879999999997
"2022-11-20 00:00:00",14305.470531840003,16449.6
"2022-11-21 00:00:00",38675.80337311001,15876.58
"2022-11-22 00:00:00",34986.354381829995,15938.689999999999
"2022-11-23 00:00:00",36671.488077719994,16410.64
"2022-11-24 00:00:00",22647.61089032,16620.71
"2022-11-25 00:00:00",24272.450904350004,16471.285
"2022-11-26 00:00:00",15899.82329026,16534.91
"2022-11-27 00:00:00",13460.622672610001,16494.545
"2022-11-28 00:00:00",23445.646372779996,16239.29
"2022-11-29 00:00:00",30674.575612700002,16312.545
"2022-11-30 00:00:00",39881.399381870004,16820.68
"2022-12-01 00:00:00",33642.635699499995,17060.57
"2022-12-02 00:00:00",25990.63806801001,16964.545
"2022-12-03 00:00:00",11414.915045880001,17010.575
"2022-12-04 00:00:00",10485.39731774,17039.655
"2022-12-05 00:00:00",25439.912923320004,17144.285
"2022-12-06 00:00:00",26021.897682959996,17009.440000000002
"2022-12-07 00:00:00",24171.611461959998,16920.095
"2022-12-08 00:00:00",24174.071252020003,17022.25
"2022-12-09 00:00:00",25925.704148729998,17198.39
"2022-12-10 00:00:00",14205.819116559998,17161.98
"2022-12-11 00:00:00",10637.084752520002,17170.03
"2022-12-12 00:00:00",26044.78955507,17060.440000000002
"2022-12-13 00:00:00",40329.37430313,17520.65
"2022-12-14 00:00:00",33108.08913973,18014.325
"2022-12-15 00:00:00",30993.058948690003,17575.305
"2022-12-16 00:00:00",26184.067031489998,17066.105000000003
"2022-12-17 00:00:00",19554.73567375,16693.870000000003
"2022-12-18 00:00:00",13422.987661989999,16751.93
"2022-12-19 00:00:00",23562.043886740008,16581.895
"2022-12-20 00:00:00",24200.023473180005,16716.809999999998
"2022-12-21 00:00:00",29846.654994310004,16830.36
"2022-12-22 00:00:00",21731.450222150004,16716.045
"2022-12-23 00:00:00",21887.765787989996,16835.394999999997
"2022-12-24 00:00:00",12821.35889995,16818.65
"2022-12-25 00:00:00",9614.677042280002,16793.65
"2022-12-26 00:00:00",11707.50796302,16861.82
"2022-12-27 00:00:00",19671.249146789996,16783.17
"2022-12-28 00:00:00",20083.77522581,16619.67
"2022-12-29 00:00:00",21362.755880889996,16568.620000000003
"2022-12-30 00:00:00",27631.62044123,16501.005
