,0
Close,1.0
SplyMiner0HopAllUSD,0.9999971132719545
SplyMiner1HopAllUSD,0.9990750561559166
Low,0.9974651595413578
High,0.997099337189381
Open,0.9940461724967282
CapAct1yrUSD,0.9887782959010062
RevHashRateUSD,0.9854978519697365
SplyAdrBalUSD100K,0.9769547187741949
SplyAdrBalUSD10M,0.9768708166151981
SplyAdrBalUSD10K,0.9295473357874997
SplyAdrBal1in1M,0.9162858360708743
SplyAdrBalNtv10,0.9022634557582148
SplyAct4yr,0.8924665789992807
AdrBal1in100KCnt,0.8822239925866059
SplyAdrBal1in100K,0.8680997302677169
SplyAdrBalNtv100,0.8531787894937758
SplyAdrBalUSD1M,0.773860364823958
SplyActPct1yr,0.7686907037795391
AdrBal1in1KCnt,0.7591535978596211
NVTAdjFF90,0.757737131436494
SplyAct1yr,0.7550599139103786
Git,0.7384471749447167
NVTAdj90,0.7321071655911666
SplyAct5yr,0.69567915765048
SplyFF,0.6901348378806617
SplyAdrTop1Pct,0.6625198527546885
SplyAdrBalNtv1K,0.6598712135150551
AdrBal1in10KCnt,0.628917624764778
Twitter,0.6265353903899314
SplyAdrBal1in10M,0.5874330086906331
NDF,0.5808011961803708
FeeTotUSD,0.49854374460816137
AdrBalNtv1KCnt,0.45306730915418836
SplyAdrBal1in10K,0.43321045273008835
Gsearch_scaled,0.43231589708495993
SplyAct90d,0.3701745993220438
SplyAct180d,0.35236466812242107
SplyAct30d,0.2590880819075116
SplyAct3yr,0.2290564765012963
