,0
Close,1.0
SplyMiner0HopAllUSD,0.9999428191301069
SplyMiner1HopAllUSD,0.999637279802854
High,0.9979449368544467
Low,0.9972428217199866
CapAct1yrUSD,0.9969800080366225
Open,0.9947742129159954
SplyAdrBalUSD10M,0.9021407182429316
AdrBalCnt,0.8695497209187051
SplyAdrBalUSD1M,0.8586499964884573
SplyActPct1yr,0.8365291538256936
SplyAct1yr,0.8184779098568069
FlowTfrFromExCnt,0.8079791844639851
AdrBal1in10MCnt,0.7995531942063039
AdrBal1in10BCnt,0.7976081841550997
AdrBal1in1BCnt,0.7927563364094622
AdrBalNtv0.01Cnt,0.7920458399418937
AdrBalNtv0.001Cnt,0.7911466564527851
Gsearch_scaled,0.7789008668338229
AdrBal1in100MCnt,0.7684328838455035
SplyAdrBalUSD10K,0.753723344023532
AdrBalNtv0.1Cnt,0.7471258978730937
SplyFF,0.7431302889424849
SplyAdrBalUSD100K,0.7416664991617238
AdrBalNtv1Cnt,0.740960080640662
SplyAct5yr,0.7297128026823559
SplyAct180d,0.6824709408984806
SplyAct2yr,0.675035653170373
FeeTotUSD,0.6467533569244677
SplyAct3yr,0.6278289267343159
SplyAdrBalUSD1K,0.5987465187640895
SplyAdrTop1Pct,0.5564283995427943
SplyExpFut10yr,0.549430606592066
SplyAdrBalUSD100,0.517944822276354
SplyAct10yr,0.5017747525638898
SplyActEver,0.5017747525638898
RevHashRateUSD,0.4976924711875834
SplyAdrBalUSD10,0.4942220161899865
SplyAdrBalUSD1,0.4910909770715023
SplyCur,0.49058161855955873
