,0
Close,1.0
SplyMiner0HopAllUSD,0.9999553645114075
High,0.9968647869086436
Low,0.9962797690123933
SplyMiner1HopAllUSD,0.9945420957989239
Open,0.9927723792815504
CapAct1yrUSD,0.9863948554233016
SplyAdrBalUSD10M,0.9335313467015571
SplyAdrBalUSD100K,0.9087519952933971
RevHashRateUSD,0.8957459414135032
AdrBal1in100KCnt,0.8137221756285917
SplyAdrBalUSD1M,0.7670139662875892
SplyAct1yr,0.7581457470852475
SplyActPct1yr,0.7576819066946833
NVTAdjFF90,0.6892218514999695
NVTAdj90,0.6878260120339152
AdrBal1in10KCnt,0.6544319039779468
SplyAct3yr,0.6135702865719707
AdrBalNtv100Cnt,0.58211002544008
SplyAct4yr,0.5794724888779114
Git,0.5693263672293358
FG,0.5424354266952541
FeeTotUSD,0.42966432284272776
NDF,0.3842921765344799
SplyAct5yr,0.38396852770731793
SplyAct180d,0.38283967640660954
Gsearch_scaled,0.3652138042894747
AdrActCnt,0.36403398598827047
SplyMiner1HopAllNtv,0.344254045088377
SplyFF,0.3423559876656902
AdrBal1in1MCnt,0.3072955166209713
FeeTotNtv,0.304956722307794
SplyAct90d,0.29729543720934176
BlkWghtTot,0.29496944610988846
TxTfrCnt,0.29192385431015794
NVTAdjFF,0.2836651874684741
NVTAdj,0.272024065776392
AdrBal1in1KCnt,0.267279221115976
SplyAdrBalUSD10K,0.26689560389812994
TxCntSec,0.25990255065508633
