,0
Close,1.0
SplyMiner0HopAllUSD,0.9997821077455776
Low,0.9982698075261592
High,0.998130798845795
SplyMiner1HopAllUSD,0.9970745319536513
Open,0.9958494196518439
CapAct1yrUSD,0.9909244570445169
SplyAdrBalUSD1M,0.9600061228674748
SplyAdrBalUSD10M,0.9325356103531395
SplyAdrBalUSD100K,0.9040903865856187
AdrBal1in10KCnt,0.8835852601654084
SplyAdrBalUSD10K,0.8526236641891117
Gsearch_scaled,0.7680309478567992
AdrBalCnt,0.7368842328467825
SplyAdrBalUSD1K,0.7363576510721854
NVTAdj90,0.7266088112062304
SplyExpFut10yr,0.7170210400134094
NVTAdjFF90,0.713099787178236
FeeTotUSD,0.713034104787421
SplyAdrBal1in10K,0.7115908145846754
AdrBalNtv0.001Cnt,0.6972009583745844
SplyAdrTop1Pct,0.694544960728246
AdrBalNtv1KCnt,0.691589625025287
AdrBal1in10BCnt,0.6914780775373108
SplyAdrBalUSD100,0.6861735858175269
AdrBal1in1BCnt,0.6819112459163239
SplyAdrBalNtv10,0.6787922550597859
SplyAdrBalNtv1K,0.6755338790584701
AdrBalNtv0.1Cnt,0.6730671613777126
SplyAdrTop10Pct,0.6730134604835292
SplyAdrBal1in1M,0.6714565000932867
SplyAdrBalUSD10,0.6703872185103363
SplyAdrBalUSD1,0.6689324706883357
SplyCur,0.6687612903683374
SplyAdrBal1in1B,0.6686909126302797
SplyAdrBalNtv0.001,0.6686788550185367
SplyAdrBal1in10B,0.6686018877306902
SplyAdrBalNtv0.01,0.6681858195806774
SplyAdrBalNtv0.1,0.6674752159866125
SplyAdrBal1in100M,0.6661852724767457
