,0
Close,1.0
SplyMiner0HopAllUSD,0.9998388172815268
SplyMiner1HopAllUSD,0.9989855543594262
CapAct1yrUSD,0.9987341483694846
High,0.9973594283242004
Low,0.997102742508485
Open,0.9942175930438468
AdrBalNtv0.001Cnt,0.9096633624427792
AdrBalCnt,0.9086293682621169
AdrBal1in10BCnt,0.9018259889243441
SplyAdrBalUSD1M,0.8985257566549781
SplyExpFut10yr,0.8977951312558309
DiffMean,0.8972337470978913
DiffLast,0.8971170311164631
SplyAdrBalUSD10K,0.8965154706233273
SplyAdrBalUSD100K,0.8954431225334526
SplyAdrBalUSD100,0.8889719515741947
SplyAdrBalUSD10M,0.8880430678650637
SplyAct10yr,0.8874419662621496
SplyActEver,0.8874419662621496
SplyAdrBalUSD10,0.8856722145968078
NVTAdj90,0.8851569350080838
SplyAdrBalUSD1,0.8848189204073011
SplyCur,0.8846942105221032
SplyAdrBalNtv0.001,0.8846592446205787
SplyAdrBal1in10B,0.8846212983225723
SplyAdrBalNtv0.01,0.8842305697174292
SplyAdrBal1in1B,0.8841166768616672
SplyAdrBalUSD1K,0.8824863783667279
SplyAdrBalNtv0.1,0.8811096017671564
SplyAct1yr,0.8793897038990991
SplyAdrBal1in100M,0.8791969029185143
SplyAdrTop10Pct,0.8731983259986353
AdrBalNtv0.01Cnt,0.8725558737127984
SplyAdrTop1Pct,0.8616990982918513
SplyAdrBalNtv1,0.8607563222282162
NVTAdjFF90,0.8587025921454106
FeeTotUSD,0.8563052278252742
HashRate,0.8508773560167646
SplyAdrBal1in10M,0.8462718956709255
