weighted_score_category,PNL,long_trades,short_trades,win_trades,loss_trades,total_trades
65to70,-181,1,0,0,1,1
70to75,0,0,0,0,0,0
75to80,2020,0,1,1,0,1
80to100,0,0,0,0,0,0
