weighted_score_category,PNL,long_trades,short_trades,win_trades,loss_trades,total_trades
65to70,159,1,0,1,0,1
70to75,100,0,6,3,3,6
75to80,0,0,0,0,0,0
80to100,1900,0,1,1,0,1
